product_name,brand,store_slug,category,gender,description,image_url,product_url,price,original_price,currency,availability,colour_name,colour_hex,season_tags,subseason_tags,active
(Nano) Najwa Sport Basic 3.0 - Maroon,TudungPeople,tudungpeople,hijabs,women,Active,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/TudungPeople-Najwa-Sport-Basic-Maroon-a.jpg?v=1785288886,https://tudungpeople.com/products/nano-najwa-sport-basic-3-0-maroon,89.00,89.00,MYR,in_stock,Maroon,#67122a,autumn,,true
(Nano) Najwa Sport Basic 3.0 - Dark Purple,TudungPeople,tudungpeople,hijabs,women,Active,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/TudungPeople-Najwa-Sport-Basic-DarkPurple-a.jpg?v=1785288595,https://tudungpeople.com/products/nano-najwa-sport-basic-3-0-dark-purple,89.00,89.00,MYR,in_stock,Maroon,#501e34,winter,deep-winter,true
(Nano) Najwa Sport Basic 3.0 - Dark Brown,TudungPeople,tudungpeople,hijabs,women,Active,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/TudungPeople-Najwa-Sport-Basic-Darkbrown-a.jpg?v=1785288907,https://tudungpeople.com/products/nano-najwa-sport-basic-3-0-dark-brown,89.00,89.00,MYR,unknown,Maroon,#5a3c37,autumn,,true
(Nano) Najwa Sport Niya 3.0 - Maroon,TudungPeople,tudungpeople,hijabs,women,Active,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/TudungPeople-Najwa-Sport-Niya-Maroon-a-1.jpg?v=1785290225,https://tudungpeople.com/products/nano-najwa-sport-niya-3-0-maroon,89.00,89.00,MYR,unknown,Maroon,#4e061b,winter,deep-winter,true
(Nano) Najwa Sport Niya 3.0 - Light Blue,TudungPeople,tudungpeople,hijabs,women,Active,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/TudungPeople-Najwa-Sport-Niya-lightblue-a.jpg?v=1785290368,https://tudungpeople.com/products/nano-najwa-sport-niya-3-0-light-blue,89.00,89.00,MYR,unknown,Lilac,#a3b2cb,summer,,true
(Nano) Najwa Sport Niya 3.0 - Dark Brown,TudungPeople,tudungpeople,hijabs,women,Active,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/TudungPeople-Najwa-Sport-Niya-Darkbrown-a.jpg?v=1785290237,https://tudungpeople.com/products/nano-najwa-sport-niya-3-0-dark-brown,89.00,89.00,MYR,unknown,Charcoal,#3f2824,autumn,deep-autumn,true
(Nano) Najwa Sport Niya 3.0 - Ash Brown,TudungPeople,tudungpeople,hijabs,women,Active,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/TudungPeople-Najwa-Sport-Niya-Ashbrown-a.jpg?v=1785290358,https://tudungpeople.com/products/nano-najwa-sport-niya-3-0-ash-brown,89.00,89.00,MYR,unknown,Charcoal,#4e323a,autumn,,true
(Nano) Najwa Sport Lite 3.0 - Light Blue,TudungPeople,tudungpeople,hijabs,women,Active,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/TudungPeople-Najwa-Sport-Lite-Lightblue-a.jpg?v=1785289984,https://tudungpeople.com/products/nano-najwa-sport-lite-3-0-light-blue,89.00,89.00,MYR,unknown,Tan,#cfa799,summer,,true
(Nano) Najwa Sport Pro 3.0 - Emerald,TudungPeople,tudungpeople,hijabs,women,Active,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/TudungPeople-Najwa-Sport-Pro-Emerald-a.jpg?v=1785291375,https://tudungpeople.com/products/nano-najwa-sport-pro-3-0-emerald,99.00,99.00,MYR,in_stock,Charcoal,#283b3a,winter,,true
(Nano) Najwa Sport Pro 3.0 - Maroon,TudungPeople,tudungpeople,hijabs,women,Active,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/TudungPeople-Najwa-Sport-Pro-Maroon-a.jpg?v=1785291443,https://tudungpeople.com/products/nano-najwa-sport-pro-3-0-maroon,99.00,99.00,MYR,in_stock,Maroon,#531424,winter,deep-winter,true
(Nano) Najwa Sport Niya 3.0 - Dark Purple,TudungPeople,tudungpeople,hijabs,women,Active,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/TudungPeople-Najwa-Sport-Niya-Dark-Purple-a.jpg?v=1785291771,https://tudungpeople.com/products/nano-najwa-sport-niya-3-0-dark-purple,89.00,89.00,MYR,in_stock,Black,#3a1022,winter,deep-winter,true
(Nano) Najwa Sport Lite 3.0 - Maroon,TudungPeople,tudungpeople,hijabs,women,Active,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/TudungPeople-Najwa-Sport-Lite-Maroon-a.jpg?v=1785289956,https://tudungpeople.com/products/nano-najwa-sport-lite-3-0-maroon,89.00,89.00,MYR,unknown,Maroon,#590620,winter,deep-winter,true
(Nano) Najwa Sport Lite 3.0 - Ash Brown,TudungPeople,tudungpeople,hijabs,women,Active,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/TudungPeople-Najwa-Sport-Lite-Ashbrown-a.jpg?v=1785289968,https://tudungpeople.com/products/nano-najwa-sport-lite-3-0-ash-brown,89.00,89.00,MYR,unknown,Brown,#5b3c44,autumn,,true
(Nano) Najwa Sport Lite 3.0 - Dark Brown,TudungPeople,tudungpeople,hijabs,women,Active,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/TudungPeople-Najwa-Sport-Lite-DarkBrown-a.jpg?v=1785289960,https://tudungpeople.com/products/nano-najwa-sport-lite-3-0-dark-brown,89.00,89.00,MYR,unknown,Charcoal,#3d2623,autumn,deep-autumn,true
(Nano) Najwa Sport Lite 3.0 - Emerald,TudungPeople,tudungpeople,hijabs,women,Active,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/TudungPeople-Najwa-Sport-Lite-Emerald-a.jpg?v=1785289979,https://tudungpeople.com/products/nano-najwa-sport-lite-3-0-emerald,89.00,89.00,MYR,unknown,Charcoal,#1e2e2d,winter,,true
Najwa Sport Khimar 3.0 - Dark Purple,TudungPeople,tudungpeople,hijabs,women,Active,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/TudungPeople-Najwa-Sport-Khimar-DarkPurple-a.jpg?v=1785289135,https://tudungpeople.com/products/najwa-sport-khimar-3-0-dark-purple,89.00,89.00,MYR,in_stock,Black,#3b051a,winter,deep-winter,true
(Nano) Najwa Sport Lite 3.0 - Dark Purple,TudungPeople,tudungpeople,hijabs,women,Active,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/TudungPeople-Najwa-Sport-Lite-DarkPurple-a.jpg?v=1785289951,https://tudungpeople.com/products/nano-najwa-sport-lite-3-0-dark-purple,89.00,89.00,MYR,unknown,Black,#3e0c25,winter,deep-winter,true
